network,station,channel,kind,dist_km,lat,lon,azimuth_deg,pick_utc,pick_rel_s,app_vel_kms,snr,triggered
N4,L64A,BDF,infrasound,96.21,41.9359,-70.8391,177.0,2026-05-30T18:11:44.321000Z,344.32,0.2794,2.67,True
N4,K62A,BDF,infrasound,110.02,42.6651,-72.2345,262.6,2026-05-30T18:11:40.370998Z,340.37,0.3232,6.48,True
N4,I62A,BDF,infrasound,124.55,43.8743,-71.3359,343.7,2026-05-30T18:11:16.571000Z,316.57,0.3934,6.62,True
N4,I63A,BDF,infrasound,141.42,44.0505,-70.5809,10.4,2026-05-30T18:12:06.621000Z,366.62,0.3857,67.85,True
N4,J61A,BDF,infrasound,147.4,43.3462,-72.5535,294.9,2026-05-30T18:12:48.946000Z,408.95,0.3604,2.44,True
N4,L61B,BDF,infrasound,150.76,42.4498,-72.6802,255.6,2026-05-30T18:12:20.921000Z,380.92,0.3958,28.8,True
N4,M63A,BDF,infrasound,181.79,41.4038,-72.0464,211.7,2026-05-30T18:14:05.271001Z,485.27,0.3746,127.89,True
N4,H62A,BDF,infrasound,198.36,44.5743,-71.1559,354.1,2026-05-30T18:14:27.671000Z,507.67,0.3907,15.72,True
N4,G62A,BDF,infrasound,270.54,45.2186,-70.5319,6.1,2026-05-30T18:18:27.421000Z,747.42,0.362,42.86,True
NE,WES,HHZ,seismic,57.65,42.3848,-71.3218,216.9,2026-05-30T18:11:19.640000Z,319.64,0.1804,16.27,True
IU,HRV,HHZ,seismic,62.96,42.5064,-71.5583,239.0,2026-05-30T18:10:19.328393Z,259.33,0.2428,3.94,True
N4,L64A,HHZ,seismic,96.21,41.9359,-70.8391,177.0,2026-05-30T18:11:33.570000Z,333.57,0.2884,1.17,False
N4,K62A,HHZ,seismic,110.02,42.6651,-72.2345,262.6,2026-05-30T18:11:13.540000Z,313.54,0.3509,3.7,True
N4,I62A,HHZ,seismic,124.55,43.8743,-71.3359,343.7,2026-05-30T18:14:14.070001Z,494.07,0.2521,4.06,True
N4,I63A,HHZ,seismic,141.42,44.0505,-70.5809,10.4,2026-05-30T18:14:34.420000Z,514.42,0.2749,4.85,False
N4,J61A,HHZ,seismic,147.4,43.3462,-72.5535,294.9,2026-05-30T18:14:46.960000Z,526.96,0.2797,3.75,False
N4,L61B,HHZ,seismic,150.76,42.4498,-72.6802,255.6,2026-05-30T18:14:19.690001Z,499.69,0.3017,5.42,False
NE,HNH,HHZ,seismic,150.79,43.7051,-72.2865,312.3,2026-05-30T18:13:08.345000Z,428.35,0.352,6.68,False
US,LBNH,HHZ,seismic,180.23,44.2401,-71.9259,333.0,2026-05-30T18:16:20.740001Z,620.74,0.2903,3.48,True
N4,M63A,HHZ,seismic,181.79,41.4038,-72.0464,211.7,2026-05-30T18:14:48.680000Z,528.68,0.3439,3.75,True
N4,H62A,HHZ,seismic,198.36,44.5743,-71.1559,354.1,2026-05-30T18:14:39.080001Z,519.08,0.3821,4.73,False
NE,TRY,HHZ,seismic,225.95,42.7313,-73.6664,269.0,2026-05-30T18:18:37.525000Z,757.52,0.2983,5.25,False
LD,ACCN,HHZ,seismic,233.94,43.3843,-73.6678,287.1,2026-05-30T18:16:15.050000Z,615.05,0.3804,4.05,False
NE,WSPT,HHZ,seismic,270.29,41.1712,-73.3278,228.7,2026-05-30T18:17:53.650000Z,713.65,0.3787,3.52,False
N4,G62A,HHZ,seismic,270.54,45.2186,-70.5319,6.1,2026-05-30T18:17:38.480000Z,698.48,0.3873,3.6,True
